Codering maatstaf	Naam maatstaf	Sociale basisvoorzieningen	Participatie	Individuele voorzieningen Wmo	Individuele voorzieningen Jeugd	Bestuur en ondersteuning	Orde en veiligheid	Onderwijs	Sport, cultuur en recreatie	Infrastructuur, ruimte en milieu	Overig	Overige eigen middelen	Onroerendezaakbelasting	Totaal
biwa	oppervlak binnenwater	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	126,10	0,00	0,00	0,00	126,10
buiwamax	oppervlak buitenwater	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	39,89	0,00	0,00	0,00	39,89
histk40	oppervlak historische kern < 40 ha	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18.619,46	15.125,98	0,00	0,00	0,00	33.745,44
histk65	oppervlak historische kern > 65 ha	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18.619,46	15.125,98	0,00	0,00	0,00	33.745,44
histk4164	oppervlak historische kern 40 tot 65 ha	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18.619,46	15.125,98	0,00	0,00	0,00	33.745,44
landbftot	oppervlak land * bodemfactor gemeente	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,72	0,00	0,00	0,00	25,72
land	oppervlak land	0,00	0,00	0,00	0,00	0,00	0,00	25,26	0,00	13,74	0,00	0,00	0,00	39,00
WOZnwe70	ozb niet-woningen eigenaren	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	-0,002933	-0,002933
WOZnwg70	ozb niet-woningen gebruikers	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	-0,002231	-0,002231
WOZwe80	ozb woningen eigenaren	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	-0,000890	-0,000890
vast	vast bedrag	0,00	0,00	0,00	0,00	530.897,93	0,00	0,00	0,00	401.336,28	0,00	0,00	49.821,63	982.055,84
Amsterdam	vast bedrag Amsterdam	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	74.175.269,15	0,00	0,00	74.175.269,15
Den Haag	verkiezingen Den Haag	0,00	0,00	0,00	0,00	1.494.533,45	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.494.533,45
Rotterdam	vast bedrag Rotterdam	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	27.064.336,61	0,00	0,00	27.064.336,61
woonr	woonruimten	0,00	0,00	0,00	0,00	82,81	56,12	0,00	0,00	-65,05	0,00	0,00	-62,09	11,79
woonrbfk	woonruimten ∗ bodemfactor woonkern	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	52,99	0,00	0,00	0,00	52,99
	herindeling	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	1,00
	suppletie bommenregeling	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	Suppletie nieuwe verdeling GF	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	1,00
	beschermd wonen	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	participatie	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	aanpak laaggeletterdheid	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	1,00
	armoedebestrijding kinderen	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	beeldende kunst en vormgeving	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	1,00
	begeleiding jongeren naar werk	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	behoud sociale voorzieningen Groningen	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	bodembescherming	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00
	BRP: Centralisering Inschrijving Vergunninghouders	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	dakloze EU burgers	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	einde lening inburgeringsplichtig	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	Ex Ante Impact Analyse NPLV	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	experiment gesloten coffeeshopketen	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	extra capaciteit BOA's	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	faciliteitenbesluit opvangcentra	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	gemeentelijke antidiscriminatie voorzieningen	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	jeugd	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	1,00
	jeugdhulp aan kinderen in een AZC	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	knelpunten verdeelproblematiek	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00
	LHBTI-beleid	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	maatschappelijke begeleiding	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	maatschappelijke opvang	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	Nationaal Actieplan Dakloosheid	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	outreachend werken	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	personen met verward gedrag	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	regionale doelgroepen specifieke aanpak	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	Regionale Energie Strategieën	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00
	slavernijverleden	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	1,00
	social labs	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	Uitstapprogramma prostituees	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	uitvoeringskosten Lbv en Lbv-plus	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	uitvoeringskosten Omgevingswet	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	veilig wonen	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	veilige steden	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	veiligheidshuizen	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	vergunningverlening, toezicht en handhaving	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00
	verkeersveiligheid	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00
	versterking arbeidsmarktregio's	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	versterking omgevingsveiligheidsdiensten	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	voorschoolse voorziening peuters	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	1,00
	vrouwenopvang	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	weerbare gemeenschappen tegen ondermijnende criminaliteit	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
	Wet kwaliteitsborging bouw	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00
